material,angle_deg,wavelength,n_total,n_def,n_und,mean_CNR_def,mean_CNR_und,delta_CNR,effect_size_d,auc_CNR,glare_def,glare_und,delta_sharpness,delta_entropy,rank_score
metal,45,red,2,1,1,114.24207319862002,47.72903785423178,66.51303534438824,,1.0,0.0,0.0,2087.09375,-0.1501727600762921,36.25651767219412
metal,0,blue,2,1,1,13.231281875422171,8.480407156662139,4.750874718760032,,1.0,0.0006985134548611,0.0010254305172589,2807.3203125,0.04915293791912401,5.375437359380016
metal,70,blue,2,1,1,10.532954607203216,8.933607694395972,1.5993469128072437,,1.0,5.784377553104575e-06,7.180606617647059e-06,153.046875,-0.0027189294398191066,3.799673456403622
metal,0,white,2,1,1,7.177531191461086,6.668138427263737,0.509392764197349,,1.0,0.0039142284517973,0.0041864931193831,1065.349609375,0.051390877781235744,3.2546963820986745
metal,45,blue,2,1,1,12.931193827523952,12.620422409466604,0.31077141805734776,,1.0,1.9946129493464053e-06,2.1940742442810456e-06,1239.015625,-0.01034625623879748,3.155385709028674
metal,70,green,2,1,1,6.753919470095652,6.578122278995504,0.17579719110014835,,1.0,8.377374387254903e-06,1.1169832516339869e-05,1175.921875,0.008147866836807793,3.087898595550074
metal,0,green,2,1,1,7.921138665559464,7.904054250378709,0.017084415180755208,,1.0,0.0013046763301674,0.0018683539496527,-2331.7734375,-0.011333692586068977,3.0085422075903776
metal,70,white,2,1,1,4.44991881673069,4.619170631275933,-0.16925181454524374,,0.0,5.445293351715687e-05,9.833441840277778e-05,910.185546875,0.001595137431454674,-0.08462590727262187
metal,45,white,2,1,1,8.35993705981474,8.617430344326097,-0.2574932845113569,,0.0,4.4479868770424834e-05,3.350949754901961e-05,606.693359375,-0.029992574817176987,-0.12874664225567845
metal,45,green,2,1,1,7.995104184977601,8.921414915652774,-0.9263107306751728,,0.0,2.1940742442810456e-06,2.991919424019608e-06,-126.19140625,-0.039115185181036516,-0.4631553653375864
metal,70,red,2,1,1,14.308670772419708,21.05944442648174,-6.750773654062032,,0.0,0.0,0.0,-903.609375,-0.05610874335136984,-3.375386827031016
metal,0,red,2,1,1,13.336290202800749,22.08028807070296,-8.74399786790221,,0.0,3.9692797691993465e-05,7.080875970179739e-05,1491.14453125,-0.0016317217793799799,-4.371998933951105
plastic,45,red,2,1,1,13.95187941485294,10.91122154524599,3.0406578696069495,,1.0,0.0,0.0,50.90234375,0.0520177777219315,4.520328934803475
plastic,45,blue,2,1,1,7.450645296631134,5.399336182250784,2.0513091143803495,,1.0,0.0,0.0,-1417.484375,0.06079787301338513,4.025654557190174
plastic,0,green,2,1,1,4.759271877532455,2.816021635077883,1.943250242454572,,1.0,0.0,0.0,-652.33203125,0.05364765175571673,3.971625121227286
plastic,70,white,2,1,1,7.237269528499912,5.379746217970093,1.8575233105298192,,1.0,0.0,0.0,-509.873046875,-0.00654411890725104,3.9287616552649096
plastic,0,white,2,1,1,5.342615997778915,4.519335054504692,0.8232809432742227,,1.0,0.0,0.0,-183.2392578125,0.024616142622447157,3.4116404716371114
plastic,0,red,3,2,1,7.158324943085881,6.547329165824392,0.6109957772614889,,1.0,0.0,0.0,-1135.1484375,0.043380765595697035,3.3054978886307445
plastic,70,blue,2,1,1,5.05542066985345,4.859935514987789,0.19548515486566043,,1.0,0.0,0.0,-70.2890625,0.014569081175233478,3.09774257743283
plastic,70,green,2,1,1,3.2031084694531566,3.2012938250530865,0.0018146444000701756,,1.0,0.0,0.0,-195.98046875,0.01972331891673651,3.0009073222000353
plastic,0,blue,1,0,1,,4.314097776142225,,,,,0.0,,,0.0
plastic,45,green,2,1,1,2.8424145280859623,3.2857177484174134,-0.4433032203314511,,0.0,0.0,0.0,-907.68359375,0.05428825792298575,-0.22165161016572554
plastic,70,red,2,1,1,11.339957531868022,11.934351609813673,-0.5943940779456511,,0.0,0.0,0.0,-908.49609375,-0.012471348937099336,-0.29719703897282557
plastic,45,white,2,1,1,8.233084465675727,9.694405749666718,-1.4613212839909906,,0.0,0.0,0.0,409.84375,0.04431517681308428,-0.7306606419954953
transparent,0,green,2,1,1,8.551171076982042,6.155869967846379,2.395301109135663,,1.0,0.0007753060534109,0.0007011064516952,-2297.4375,-0.03575386745877296,4.197650554567831
transparent,70,blue,2,1,1,11.21827316147478,9.151358850562753,2.0669143109120274,,1.0,0.0006135429432189,0.0006229176240808,1408.0,0.02500296029239113,4.033457155456014
transparent,0,red,2,1,1,9.915359964646925,7.863714644342243,2.051645320304681,,1.0,0.0002249923406862,0.0001631593392565,-563.19921875,-0.008922979403385156,4.025822660152341
transparent,0,blue,2,1,1,8.295156199782394,6.841807586961854,1.4533486128205393,,1.0,0.0006013758042279,0.0005688636131535,-709.98046875,-0.03102925052220229,3.7266743064102696
transparent,70,white,2,1,1,8.598610160395237,7.52195782459743,1.0766523357978075,,1.0,0.0020618314057393,0.0017905640446282,516.060546875,0.02516312305311441,3.5383261678989038
transparent,70,green,2,1,1,7.564579031301763,7.193983755857666,0.37059527544409754,,1.0,0.0008271659900939,0.0008064220154207,-2966.18359375,-0.02708214560111699,3.1852976377220488
transparent,45,white,2,1,1,6.035020208173871,5.689127714784623,0.34589249338924866,,1.0,0.0012061424504697,0.0013082666334763,-991.16015625,-0.0018327958415964574,3.1729462466946243
transparent,45,green,2,1,1,6.820514760289512,6.569283559206683,0.25123120108282926,,1.0,0.0005229875153186,0.0003871543734681,3289.50390625,0.0678857785175806,3.1256156005414146
transparent,0,white,2,1,1,19.94159791415739,20.52224280367488,-0.5806448895174903,,0.0,0.0021440094592524,0.0022836323657066,-826.572265625,-0.03088619889281663,-0.29032244475874514
transparent,70,red,2,1,1,9.1133582794355,10.110600490711,-0.9972422112755002,,0.0,0.0002094343596813,0.0001687442555147,-712.59765625,-0.011937185966263364,-0.4986211056377501
transparent,45,blue,2,1,1,13.582435091316452,15.334622488408336,-1.752187397091884,,0.0,0.0003700007021037,0.0003945344413807,-1430.1015625,0.019102908577870892,-0.876093698545942
transparent,45,red,2,1,1,33.6253761862058,80.68295943210063,-47.05758324589483,,0.0,5.0663168913398696e-05,5.844215941584968e-05,233.578125,0.15215099634977935,-23.528791622947416
